Event,Vehicle,Distance2020-12-18,
k, ?T-34-85 Mon424,~600
k, T-34-57
kb, IS-2 (1944)
2020-12-25,
k, T-54 (1949),~2.4
k, T-54 (1947),~0.03
k, PT-76B
k, T-44-100
k, T-44-100
k, T-44
k, T-44
k, T-44-100
k, Type 62
2020-12-21,
Offset, 0 deaths.
Reclaim, 1 death.
kb, IS-6
k, T-54 (1947),~0.05
k, IS-6
k, IS-6
k, Type 62
k, PT-76B
kb, T-54 (1949),0.4
k, T-54 (1947),0.4
k, T-54 (1947),1.040
k, T-54 (1949),0.96
k, IS-4M
kb, IS-3
Sweden,
k, T-54 (1949)
k, T-54 (1949)
kb, T-54 (1947),~0.01
k, IS-3
k, Obj 268
k, T-54 (1947),1.07
kb, T-54 (1949)
k, T-54 (1949),~0.05
kb, T-54 (1947),~0.04
2020-12-18,
k, M48
k, Type 62
k, ?T-54 (1947),~0.800
k, Type 59
kb, Type 59
k, ?T-54 (1949) ~0.03
k, ?T-54 (1949) ~0.03
kb, ZSU-57-2
kb, T-54 (1951),~0.600
kb, T-54 (1951),~0.400
k, ?T-54 (1949),~1.400
k, ?T-54 (1949),~1.600
k, T-54 (1947),~0.05
k, ?T-54 (1949),~2.000
kb, T-54 (1949),~1.500
k, ASU-85
k, ?T-54 (1949),~0.02
k, T-54 (1947),~0.06
kb, T-54 (1947),~0.05
k, T-54 (1949),~0.06
k, SU-122-54
k, SU-122-54
k, SU-122-54
k, ?T-54 (1949)
k, Type 62
k, ?T-54 (1949)
k, T-54 (1949),~0.4
kb, T-54 (1947),~0.6
2020-12-17,
kb, IS-4M
k, T-54(1947),0.9
k, IS-6
kb, T-54 (1949),0.04
k, T-34-100
kb, IS-6
2020-12-13,
k, T-54 (1949),0.7
kb, T-54 (1949),0.81
k, IS-3
k, T-54 (1949),1.62
kb, T-44-100
kb, IS-3
k, IS-4M
k, T-44-100
k, IS-3
kb, T-44-100
k, T-54 (1949),1.06
k, IS-3
k, IS-4M
k, T-44-100
k, T-54 (1947),0.23
k, T-54 (1947),0.33
kb, T-54 (1947),0.25
k, T-54 (1947),1.71
k, T-44-100
k, T-54 (1949),1.57
k, IS-4M
k, T-54 (1949),1.17
2020-12-09,
k, ASU-85
k, T-54 (1947),0.16
2020-12-06,
kb, Type 59
2020-12-05,
k, T-44-100
kb, T-44-100
k, T-54 (1947),0.77
k, T-54 (1949),1.10
k, T-54 (1949),1.34
kb, T-44-100
k, T-44-100
k, Type 59
k, IS-6
k, T-54 (1949),1.24
k, Type 59
kb, Type-59
======================================,
Following, records are after New Power.
======================================,
2020-12-24,
k, T-55AM-1
k, T-62 No.545
k, T-64A (1971)
kb, T-55A
2020-12-20,
k, T-10M
k, T-55AM-1
k, IT-1
kb, Type 59
kb, T-55AM-1
k, T-64A (1971)
k, T-55AM-1
k, T-64A (1971)
kb, BMP-2
kb, T-64A (1971)
kb, BMP-3
2020-12-16,
kb, M60A3 TTS
k, M60A3 TTS
k, T-64A (1971)
k, WZ 305
2020-12-08,
kb, T-62M-1
k, T-55A
kb, T-64A (1971)
k, T-55AM-1
k, BMP-3
k, BMP-3
kb, BMP-3
k, T-55AM-1
kb, T-69 II G
kb, Obj 279
k, Obj 279
k, M60A3 TTS
2020-12-06,
k, T-55AM-1
2020-12-04,
kb, T-64A (1971)
kb, Obj 906
kb, BMP-3
kb, BMP-2
k, T-62M-1
======================================,
Following, records are after New Power.
======================================,
2020-12-20,
kb, IS-2 (1944)
k, KV-122
k, T-34-85 (D-5T)
2020-12-17,
k, T-34-85 (D-5T),0.6
k, KV-85
k, T-34-85,1.04
k, T-34-57
kb, IS-1
kb, T-34-85 (D-5T),1
k, IS-2 (1944)
kb, IS-2 (1944)
k, IS-1
k, IS-2
2020-12-14,
k, T-44
k, SU-100P
k, PT-76
k, T-34-85 (D-5T),0.6
k, T-34-85 (D-5T),0.6
kb, IS-2 (1944)
k, T-34-85 (D-5T),0.04
k, KV-85
k, T-34-57
k, T-44
k, T-34-57
k, T-34-57
kb, IS-2 (1944)
kb, KV-220
k, KV-1 (Zis-5)
k, T-34-85 (D-5T),0.41
kb, T-34-85 (D-5T),0.14
kb, T-34-85 (D-5T),0.18
k, T-34-57
k, IS-2
2020-12-11,
k, T-34-57
kb, T-34-57
k, KV-85
k, T-34-85,1.0
2020-12-10,
k, KV-122
kb, M18
k, IS-1
k, ISU-122
k, SU-85M
kb, T-34-85,0.720
k, ASU-57
kb, T-34-57
kb, T-34-85 Gai,0.700
2020-12-06,
k, T-34-85,0.19
k, IS-1
k, IS-1
k, IS-2 No.402
k, IS-2 (1944)
k, IS-2
k, T-34-85 Gai,0.750
======================================,
Following, records are after New Power.
======================================,
2020-12-25,
2020-12-24,
k, T-34-57
2020-12-04,
k, T-34-85 (D-5T),0.400
k, KV-1 (Zis-5)
kb, Sherman VC
k, Centurion Mk. 1
kb, M4A1
======================================,
Following, records are after New Power.
======================================,
2020-12-03,
k, KV-85
k, KV-85
k, IS-1
k, T-44
k, ISU-122
k, ISU-122
k, ASU-57
kb, T-44
======================================,
Following, records are after New Power.
======================================,
2020-12-24,
k, IS-1
k, KV-85
k, ?T-34-85,~0.8
k, PT-76B
k, T-34-57
k, T-34-85,~0.8
kb, T-34-85 (D-5T),~0.01
kb, T-34-85,~0.1
kb, T-34-85 (D-5T),~0.6
k, IS-2
2020-12-23,
k, IS-1
k, PT-76B
k, ISU-122
k, IS-1
k, ?T-34-85,~0.02
k, SU-100Y
k, T-34-57
kb, T-34-85 (D-5T),~0.04
2020-12-22,
k, T-34-85,~0.5
kb, IS-2 (1944)
kb, T-34-85 Gai,~0.05
kb, SU-100P
kb, ?T-34-85,~0.04
2020-12-20,
kb, T-34-57
k, SU-152
kb, IS-1
2020-12-06,
kb, T-44
k, PT-76B
